title,siglum,century,provenance,srclink,cursus,num_century
"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",A-Gu 29 (olim 38/8 f.),14th century,St-Lambrecht,https://cantusdatabase.org/source/123610,Monastic,14
"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",A-Gu 30 (olim 38/9 f.),14th century,St-Lambrecht,https://cantusdatabase.org/source/123611,Monastic,14
"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)",A-LIb 290 (olim 183; olim Gamma p 19),12th century,Kremsmünster,https://cantusdatabase.org/source/123617,Monastic,12
"Wien, Österreichische Nationalbibliothek, Cod. 1890",A-Wn Cod. 1890,12th century,Southern Germany / Austria,https://cantusdatabase.org/source/123713,Monastic,12
"Einsiedeln, Stiftsbibliothek, 611",CH-E 611,14th century,Einsiedeln,https://cantusdatabase.org/source/123606,Monastic,14
CZ-Pu (Praha) XIV C 20,CZ-Pu XIV C 20,14th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/9137,,14
"Prague, Národní knihovna České republiky (National Library), VI.E.4c",CZ-Pu VI.E.4c,12th century (2nd half),"Prague, St. George Monastery",https://cantusdatabase.org/source/123727,Monastic,12
"Prague, Národní knihovna České republiky (National Library), XIV.B.13",CZ-Pu XIV.B.13,14th century,"Prague, St. George Monastery",https://cantusdatabase.org/source/123730,,14
"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. LX",D-KA Aug. LX,12th century,Zwiefalten,https://cantusdatabase.org/source/123612,Monastic,12
"Stuttgart, Württembergische Landesbibliothek, HB.I.55",D-Sl HB.I.55,12th century,Weingarten,https://cantusdatabase.org/source/123637,Monastic,12
F-Pn : Lat. 17436,F-Pn Lat. 17436,9th century,Abbaye Saint-Corneille de Compiègne,http://musmed.eu/source/13502,Romanum,9
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1010",A-KN CCl 1010,12th century,Klosterneuburg,https://cantusdatabase.org/source/123653,Secular,12
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1011",A-KN CCl 1011,14th century,Klosterneuburg,https://cantusdatabase.org/source/123654,Secular,14
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1013",A-KN CCl 1013,12th century,Klosterneuburg,https://cantusdatabase.org/source/123614,Secular,12
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1015",A-KN CCl 1015,14th century,Klosterneuburg,https://cantusdatabase.org/source/123655,Secular,14
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1017",A-KN CCl 1017,13th century,Klosterneuburg,https://cantusdatabase.org/source/123615,Secular,13
"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",A-KR Schachtel VI/258,13th century (2nd half),St. Pölten,https://cantusdatabase.org/source/123660,Secular,13
"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",A-SF XI 480,14th century,St-Florian,https://cantusdatabase.org/source/123658,Secular,14
"Wien, Diözesanarchiv, D-4",A-Wda D-4,15th century,Kirnberg,https://cantusdatabase.org/source/123649,,15
"Wien, Österreichische Nationalbibliothek, Cod. 1799**",A-Wn Cod. 1799**,13th century,Rein,https://cantusdatabase.org/source/123667,Monastic,13
"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",AUS-Sfl Add. Ms. 413 (olim Add. Ms. Fol.1),16th century (2nd half),Spain,https://cantusdatabase.org/source/669163,Secular,16
"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",B-TOb 63 (olim V),14th century (1375-1400),Tongeren,https://cantusdatabase.org/source/123664,Secular,14
"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",B-TOb 64 (olim IV),14th century (1375-1400),Tongeren,https://cantusdatabase.org/source/123665,Secular,14
"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu M2149.L4 1554,16th century (1550-1575),Salzinnes,https://cantusdatabase.org/source/123723,Monastic,16
"Fribourg, Bibliothèque des Cordeliers, Ms. 2",CH-Fco Ms. 2,,Franciscan,https://cantusdatabase.org/source/123672,Secular,
"Sankt-Gallen, Stiftsbibliothek, 388",CH-SGs 388,12th century,St. Gallen,https://cantusdatabase.org/source/123750,,12
"Sankt-Gallen, Stiftsbibliothek, 390 (Hartker Antiphoner - Winter Volume)",CH-SGs 390,10th century (975-1000),St. Gallen,https://cantusdatabase.org/source/123717,Monastic,11
CZ-Pn (Praha) XII A 24,CZ-Pn XII A 24,15th century,Pilsen,https://cantusbohemiae.cz/source/33177,,15
CZ-Pn (Praha) XV A 10,CZ-Pn XV A 10,14th century,,https://cantusbohemiae.cz/source/28509,,14
"Prague, Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7 (Breviarium Strigoniense)",CZ-Pst DE I 7,13th century,Esztergom,https://cantusdatabase.org/source/649450,Secular,13
CZ-Pu (Praha) VI G 11,CZ-Pu VI G 11,13th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/28488,,13
